Covid_vaccinated_in_the_world;;;;;
country;iso_alpha;doses_per100;total_dose;vaccinated_in_percentage;fully_vaccinated_in_percentage
U.A.E.;ARE;140.0;13684429;0.0;0.0
Israel;ISR;117.0;10618819;60.0;57.0
Malta;MLT;115.0;576256;67.0;50.0
Bahrain;BHR;114.0;1876554;62.0;52.0
Aruba;ABW;112.0;119395;61.0;51.0
Mongolia;MNG;109.0;3528572;59.0;51.0
Chile;CHL;107.0;20223473;61.0;47.0
U.K.;GBR;105.0;70253625;61.0;44.0
Curaçao;CUW;102.0;160585;55.0;47.0
Qatar;QAT;98.0;2768028;56.0;42.0
Hungary;HUN;96.0;9424351;54.0;42.0
Uruguay;URY;93.0;3224002;60.0;33.0
United States;USA;92.0;306509795;52.0;43.0
Maldives;MDV;92.0;489415;59.0;33.0
Iceland;ISL;88.0;317082;59.0;36.0
Singapore;SGP;77.0;4392067;44.0;33.0
Canada;CDN;75.0;28240474;64.0;11.0
Belgium;BEL;71.0;8175324;47.0;25.0
Germany;DEU;71.0;59038531;48.0;25.0
Serbia;SRB;70.0;4882120;38.0;32.0
Denmark;DNK;70.0;4066856;45.0;25.0
Lithuania;LTU;69.0;1933826;42.0;28.0
Spain;ESP;69.0;32282553;45.0;26.0
Italy;ITA;69.0;41310662;47.0;23.0
Luxembourg;LUX;68.0;423029;42.0;26.0
Austria;AUT;68.0;6043642;46.0;23.0
Switzerland;CHE;67.0;5785134;42.0;26.0
Netherlands;NLD;66.0;11395454;45.0;23.0
Portugal;PRT;65.0;6713043;43.0;23.0
France;FRA;64.0;43204513;45.0;21.0
Bhutan;BTN;63.0;482716;63.0;0.0
Poland;POL;62.0;23628450;40.0;24.0
Greece;GRC;62.0;6665626;39.0;25.0
Slovenia;SVN;62.0;1294610;36.0;26.0
Finland;FIN;62.0;3421475;50.0;12.0
Mainland China;CHN;62.0;863513000;0.0;0.0
Norway;NOR;61.0;3254587;36.0;25.0
Estonia;EST;61.0;806585;39.0;22.0
Czech Republic;CZE;60.0;6436606;42.0;19.0
